observation_id,district_id,group_id,income_scenario_id,year,offer_rent_per_sqm,flat_size_sqm,utilities_eur,warm_rent_eur,monthly_income_eur,housing_stress_score,affordability_status,rent_source_id,income_source_id
affordability_suedvorstadt_students_bafog_only_2026,suedvorstadt,students,bafog_only,2026,10.62,30,120,438.6,992,0.442,critical,wohnungsboerse_2026,bafoeg_2024
affordability_suedvorstadt_students_bafog_plus_minijob_2026,suedvorstadt,students,bafog_plus_minijob,2026,10.62,30,120,438.6,1595,0.275,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_thekla_students_bafog_only_2026,thekla,students,bafog_only,2026,8.99,30,120,389.7,992,0.393,critical,wohnungsboerse_2026,bafoeg_2024
affordability_thekla_students_bafog_plus_minijob_2026,thekla,students,bafog_plus_minijob,2026,8.99,30,120,389.7,1595,0.244,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_volkmarsdorf_students_bafog_only_2026,volkmarsdorf,students,bafog_only,2026,10.01,30,120,420.3,992,0.424,critical,wohnungsboerse_2026,bafoeg_2024
affordability_volkmarsdorf_students_bafog_plus_minijob_2026,volkmarsdorf,students,bafog_plus_minijob,2026,10.01,30,120,420.3,1595,0.264,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_wahren_students_bafog_only_2026,wahren,students,bafog_only,2026,9.15,30,120,394.5,992,0.398,critical,wohnungsboerse_2026,bafoeg_2024
affordability_wahren_students_bafog_plus_minijob_2026,wahren,students,bafog_plus_minijob,2026,9.15,30,120,394.5,1595,0.247,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_wiederitzsch_students_bafog_only_2026,wiederitzsch,students,bafog_only,2026,9.72,30,120,411.6,992,0.415,critical,wohnungsboerse_2026,bafoeg_2024
affordability_wiederitzsch_students_bafog_plus_minijob_2026,wiederitzsch,students,bafog_plus_minijob,2026,9.72,30,120,411.6,1595,0.258,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_zentrum_students_bafog_only_2026,zentrum,students,bafog_only,2026,11.43,30,120,462.9,992,0.467,not_affordable,wohnungsboerse_2026,bafoeg_2024
affordability_zentrum_students_bafog_plus_minijob_2026,zentrum,students,bafog_plus_minijob,2026,11.43,30,120,462.9,1595,0.29,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_zentrum_nord_students_bafog_only_2026,zentrum_nord,students,bafog_only,2026,12.5,30,120,495.0,992,0.499,not_affordable,wohnungsboerse_2026,bafoeg_2024
affordability_zentrum_nord_students_bafog_plus_minijob_2026,zentrum_nord,students,bafog_plus_minijob,2026,12.5,30,120,495.0,1595,0.31,critical,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_zentrum_nordwest_students_bafog_only_2026,zentrum_nordwest,students,bafog_only,2026,11.63,30,120,468.9,992,0.473,not_affordable,wohnungsboerse_2026,bafoeg_2024
affordability_zentrum_nordwest_students_bafog_plus_minijob_2026,zentrum_nordwest,students,bafog_plus_minijob,2026,11.63,30,120,468.9,1595,0.294,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_zentrum_ost_students_bafog_only_2026,zentrum_ost,students,bafog_only,2026,13.11,30,120,513.3,992,0.517,not_affordable,wohnungsboerse_2026,bafoeg_2024
affordability_zentrum_ost_students_bafog_plus_minijob_2026,zentrum_ost,students,bafog_plus_minijob,2026,13.11,30,120,513.3,1595,0.322,critical,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_zentrum_sued_students_bafog_only_2026,zentrum_sued,students,bafog_only,2026,11.78,30,120,473.4,992,0.477,not_affordable,wohnungsboerse_2026,bafoeg_2024
affordability_zentrum_sued_students_bafog_plus_minijob_2026,zentrum_sued,students,bafog_plus_minijob,2026,11.78,30,120,473.4,1595,0.297,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_zentrum_suedost_students_bafog_only_2026,zentrum_suedost,students,bafog_only,2026,12.76,30,120,502.8,992,0.507,not_affordable,wohnungsboerse_2026,bafoeg_2024
affordability_zentrum_suedost_students_bafog_plus_minijob_2026,zentrum_suedost,students,bafog_plus_minijob,2026,12.76,30,120,502.8,1595,0.315,critical,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_zentrum_west_students_bafog_only_2026,zentrum_west,students,bafog_only,2026,11.81,30,120,474.3,992,0.478,not_affordable,wohnungsboerse_2026,bafoeg_2024
affordability_zentrum_west_students_bafog_plus_minijob_2026,zentrum_west,students,bafog_plus_minijob,2026,11.81,30,120,474.3,1595,0.297,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
